C:\ TYPE:NTFS  FREE:4957.12 MB TOTAL:10001.40 MB,\\IPUDFZ1755ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:5004.60 MB TOTAL:10001.40 MB,\\IPUDFZ1756ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:5036.63 MB TOTAL:10001.40 MB,\\IPDDFZ0099ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:5040.05 MB TOTAL:10001.40 MB,\\IPDMCZ0086ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:5100.98 MB TOTAL:10001.40 MB,\\IPDMBZ0117ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:5132.23 MB TOTAL:10010.02 MB,\\IPDDFZ1839ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:5166.34 MB TOTAL:10001.40 MB,\\IPDDFZ2039ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:5219.35 MB TOTAL:10001.40 MB,\\IPDAEZ1670ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:5219.40 MB TOTAL:10001.40 MB,\\IPDAEZ1929ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:525.15 MB TOTAL:5004.62 MB,\\IPDAEZ0695ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:5255.84 MB TOTAL:10001.40 MB,\\IPDMBZ0043ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:5324.39 MB TOTAL:10001.40 MB,\\IPDAEZ1809ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:5378.80 MB TOTAL:10001.40 MB,\\IPDDFZ1888ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:5410.27 MB TOTAL:10001.40 MB,\\IPDMBZ0201ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:5568.20 MB TOTAL:10001.40 MB,\\IPDMBZ0142ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:5637.17 MB TOTAL:10001.40 MB,\\IPDMBZ0128ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:5695.33 MB TOTAL:10001.40 MB,\\IPDDFZ1962ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:5974.23 MB TOTAL:10001.40 MB,\\IPDAEZ1939ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:6071.27 MB TOTAL:10001.40 MB,\\IPDAEZ1973ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:6418.18 MB TOTAL:10001.40 MB,\\IPDAEZ1879ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:6529.62 MB TOTAL:10009.21 MB,\\IPDDFZ0089ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:6702.07 MB TOTAL:10001.25 MB,\\PATCHLINK1,Win2K3-
C:\ TYPE:NTFS  FREE:8976.83 MB TOTAL:17355.92 MB,\\IPSWBX0002ATL2,Win2K3-
